gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2048,7168,asm,7,8,6.9864,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.2,2102.85,0.0156
gfx950,256,2,2048,7168,asm,15,8,8.5589,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,6.86,1717.81,0.0095
gfx950,256,4,2048,7168,asm,6,7,8.7069,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,13.49,1691.2,0.0073
gfx950,256,8,2048,7168,asm,6,7,10.2316,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,22.96,1443.58,0.0061
gfx950,256,16,2048,7168,asm,7,8,9.8357,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,47.76,1510.85,0.0076
gfx950,256,24,2048,7168,asm,15,8,9.9181,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,71.05,1507.39,0.008
gfx950,256,32,2048,7168,asm,6,7,10.6895,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,87.89,1407.04,0.0064
gfx950,256,48,2048,7168,asm,7,8,10.1803,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,138.43,1495.12,0.0103
gfx950,256,64,2048,7168,asm,15,8,11.0899,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,169.44,1388.74,0.0096
gfx950,256,80,2048,7168,asm,23,8,11.9229,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,197.0,1306.83,0.0088
gfx950,256,96,2048,7168,asm,13,6,11.7445,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,239.99,1342.02,0.0042
gfx950,256,112,2048,7168,asm,23,8,11.9265,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,275.72,1336.66,0.0094
gfx950,256,128,2048,7168,asm,28,5,12.7265,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,295.3,1266.79,0.0031
gfx950,256,144,2048,7168,asm,12,5,13.1468,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,321.59,1240.0,0.0027
gfx950,256,160,2048,7168,asm,19,4,15.5585,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,301.93,1059.38,0.0018
gfx950,256,176,2048,7168,asm,11,4,14.4213,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,358.32,1155.41,0.0019
gfx950,256,192,2048,7168,asm,11,4,16.1305,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,349.47,1044.16,0.0018
gfx950,256,208,2048,7168,asm,19,4,16.1986,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,377.0,1050.89,0.0018
gfx950,256,224,2048,7168,asm,19,4,16.4851,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,398.95,1043.56,0.0019
gfx950,256,240,2048,7168,asm,19,4,16.921,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,416.43,1027.33,0.0019
gfx950,256,256,2048,7168,asm,19,4,17.0795,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,440.07,1028.35,0.0019
gfx950,256,288,2048,7168,asm,27,4,18.1933,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,464.77,985.2,0.0019
gfx950,256,320,2048,7168,asm,27,4,18.5633,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,506.12,984.98,0.0016
gfx950,256,352,2048,7168,asm,35,4,19.9353,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,518.42,935.28,0.0017
gfx950,256,384,2048,7168,asm,35,4,20.4198,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,552.13,930.74,0.0017
gfx950,256,416,2048,7168,asm,34,3,22.0634,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,553.58,877.74,0.0003
gfx950,256,448,2048,7168,asm,34,3,22.3474,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,588.58,882.71,0.0002
gfx950,256,480,2048,7168,asm,34,3,22.8801,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,615.94,877.92,0.0003
gfx950,256,512,2048,7168,ck,17,0,23.2823,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,645.66,878.23,0.0
gfx950,256,544,2048,7168,asm,25,2,25.476,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,626.94,816.76,0.0
gfx950,256,576,2048,7168,asm,25,2,25.1685,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,671.93,841.06,0.0
gfx950,256,608,2048,7168,asm,25,2,25.7418,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,693.46,836.33,0.0
gfx950,256,640,2048,7168,asm,25,2,26.3263,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,713.75,831.45,0.0
gfx950,256,672,2048,7168,asm,33,2,28.4033,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,694.64,783.34,0.0
gfx950,256,704,2048,7168,asm,33,2,28.0129,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,737.86,807.13,0.0
gfx950,256,736,2048,7168,asm,33,2,27.9029,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,774.44,823.23,0.0
gfx950,256,768,2048,7168,asm,33,2,28.5446,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,789.94,817.35,0.0
gfx950,256,800,2048,7168,asm,16,1,30.4411,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,771.59,778.27,0.0
gfx950,256,832,2048,7168,asm,16,1,30.4845,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,801.31,788.98,0.0
gfx950,256,864,2048,7168,asm,16,1,30.5873,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,829.34,798.11,0.0
gfx950,256,896,2048,7168,asm,16,1,30.8053,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,853.97,804.17,0.0
gfx950,256,928,2048,7168,asm,16,1,31.2952,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,870.62,803.1,0.0
gfx950,256,960,2048,7168,asm,16,1,31.0238,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,908.52,821.74,0.0
gfx950,256,992,2048,7168,asm,16,1,30.9362,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,941.46,835.72,0.0
gfx950,256,1024,2048,7168,asm,16,1,31.9088,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,942.21,821.54,0.0
gfx950,256,1088,2048,7168,asm,24,1,34.1346,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,935.82,789.09,0.0
gfx950,256,1152,2048,7168,asm,24,1,34.3731,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,983.99,804.59,0.0
gfx950,256,1216,2048,7168,asm,24,1,35.8233,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,996.61,792.14,0.0
gfx950,256,1280,2048,7168,asm,24,1,35.4125,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1061.23,821.69,0.0
gfx950,256,1344,2048,7168,asm,32,1,39.8021,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,991.41,749.18,0.0
gfx950,256,1408,2048,7168,asm,32,1,38.9297,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1061.89,784.49,0.0
gfx950,256,1472,2048,7168,asm,32,1,40.1477,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1076.48,778.64,0.0
gfx950,256,1536,2048,7168,asm,32,1,41.5865,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1084.42,769.04,0.0
gfx950,256,1600,2048,7168,ck,14,0,43.5872,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1077.75,750.28,0.0
gfx950,256,1664,2048,7168,ck,14,0,46.135,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1058.96,724.47,0.0
gfx950,256,1728,2048,7168,ck,14,0,45.1286,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1124.22,756.6,0.0
gfx950,256,1792,2048,7168,ck,14,0,48.145,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1092.81,724.17,0.0
gfx950,256,1856,2048,7168,ck,14,0,49.183,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1107.95,723.54,0.0
gfx950,256,1920,2048,7168,ck,16,0,50.6177,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,1113.67,717.28,0.0
gfx950,256,1984,2048,7168,asm,40,1,48.8478,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1192.49,758.02,0.0
gfx950,256,2048,2048,7168,asm,40,1,49.2146,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1221.78,767.02,0.0
gfx950,256,4096,2048,7168,cktile,29,0,78.984,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1522.58,770.0,0.0
gfx950,256,6144,2048,7168,cktile,27,0,86.6365,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2082.13,968.25,0.0
gfx950,256,8192,2048,7168,ck,0,0,147.8843,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1626.39,723.23,0.0
gfx950,256,10240,2048,7168,cktile,28,0,156.9056,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1916.11,828.67,0.0
gfx950,256,12288,2048,7168,cktile,28,0,166.216,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2170.53,921.04,0.0
gfx950,256,14336,2048,7168,cktile,28,0,230.7217,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1824.31,763.52,0.0
gfx950,256,16384,2048,7168,cktile,28,0,236.237,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,2036.24,843.35,0.0
gfx950,256,32768,2048,7168,cktile,11,0,463.2833,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2076.64,828.39,0.0
gfx950,256,1,6144,7168,asm,4,5,12.57,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,7.01,3505.14,0.0034
gfx950,256,2,6144,7168,asm,28,5,13.3577,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,13.19,3299.9,0.0025
gfx950,256,4,6144,7168,asm,12,5,12.6019,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,27.96,3500.9,0.0041
gfx950,256,8,6144,7168,asm,12,5,13.8319,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,50.94,3195.21,0.0022
gfx950,256,16,6144,7168,asm,4,5,13.9868,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,100.76,3170.95,0.0025
gfx950,256,24,6144,7168,asm,4,5,14.2414,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,148.44,3125.19,0.0024
gfx950,256,32,6144,7168,asm,4,5,14.4589,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,194.94,3088.95,0.0023
gfx950,256,48,6144,7168,asm,28,5,16.4506,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,257.0,2733.89,0.0025
gfx950,256,64,6144,7168,asm,28,5,17.0228,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,331.15,2660.28,0.0029
gfx950,256,80,6144,7168,asm,28,5,18.0148,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,391.15,2531.07,0.0025
gfx950,256,96,6144,7168,asm,36,5,19.5836,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,431.78,2344.2,0.0024
gfx950,256,112,6144,7168,asm,44,5,21.6215,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,456.26,2137.65,0.0028
gfx950,256,128,6144,7168,asm,44,5,22.3244,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,505.02,2084.29,0.0023
gfx950,256,144,6144,7168,asm,25,2,24.2747,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,522.5,1929.66,0.0
gfx950,256,160,6144,7168,asm,25,2,24.972,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,564.35,1888.24,0.0
gfx950,256,176,6144,7168,asm,33,2,26.3943,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,587.33,1798.28,0.0
gfx950,256,192,6144,7168,asm,33,2,27.2295,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,621.07,1754.56,0.0
gfx950,256,208,6144,7168,asm,8,1,28.5855,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,640.91,1682.22,0.0
gfx950,256,224,6144,7168,asm,8,1,29.0512,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,679.15,1665.97,0.0
gfx950,256,240,6144,7168,asm,8,1,29.2191,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,723.48,1667.05,0.0
gfx950,256,256,6144,7168,asm,16,1,30.6717,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,735.16,1598.25,0.0
gfx950,256,288,6144,7168,asm,16,1,31.3682,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,808.69,1582.61,0.0
gfx950,256,320,6144,7168,asm,16,1,30.9954,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,909.35,1621.73,0.0
gfx950,256,352,6144,7168,asm,24,1,34.2756,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,904.56,1484.69,0.0
gfx950,256,384,6144,7168,asm,24,1,34.6739,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,975.46,1485.59,0.0
gfx950,256,416,6144,7168,asm,32,1,38.2745,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,957.33,1362.11,0.0
gfx950,256,448,6144,7168,asm,32,1,39.2421,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1005.55,1344.38,0.0
gfx950,256,480,6144,7168,asm,32,1,36.9491,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1144.24,1444.67,0.0
gfx950,256,512,6144,7168,asm,40,1,45.8087,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,984.47,1178.85,0.0
gfx950,256,544,6144,7168,asm,40,1,47.7462,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1003.55,1144.05,0.0
gfx950,256,576,6144,7168,asm,40,1,48.4366,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1047.44,1140.6,0.0
gfx950,256,608,6144,7168,asm,40,1,47.9298,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1117.32,1165.65,0.0
gfx950,256,640,6144,7168,asm,40,1,49.3998,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1141.13,1143.57,0.0
gfx950,256,672,6144,7168,asm,24,1,63.3267,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,934.68,901.9,0.0
gfx950,256,704,6144,7168,ck,14,0,63.0787,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,983.04,915.32,0.0
gfx950,256,736,6144,7168,asm,24,1,64.5868,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1003.72,903.59,0.0
gfx950,256,768,6144,7168,ck,14,0,61.7039,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1096.3,955.89,0.0
gfx950,256,800,6144,7168,asm,24,1,66.4914,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,1059.75,896.43,0.0
